"Census Tract","Census Block Group","County","County ID","Region","Economic Domain Score (by region)","Environmental Domain Score (by region)","Education Domain Score (by region)","Composite Index Score","Final Category"
"06037296500","#N/A","Los Angeles","06037","Los Angeles Region","0.116","0.494","0.35","-0.376","Low Resource"
"06037296600","#N/A","Los Angeles","06037","Los Angeles Region","0.063","0.743","0.35","-0.374","Low Resource"
"06037296901","#N/A","Los Angeles","06037","Los Angeles Region","0.215","0.903","0.417","-0.155","Moderate Resource"
"06037296902","#N/A","Los Angeles","06037","Los Angeles Region","0.276","0.904","0.417","-0.122","Moderate Resource"
"06037297000","#N/A","Los Angeles","06037","Los Angeles Region","0.758","0.969","0.319","0.159","High Resource"
"06037297110","#N/A","Los Angeles","06037","Los Angeles Region","0.042","0.213","0.362","#N/A","High Segregation & Poverty"
"06037297120","#N/A","Los Angeles","06037","Los Angeles Region","0.18","0.417","0.417","-0.31","Low Resource"
"06037297201","#N/A","Los Angeles","06037","Los Angeles Region","0.379","0.838","0.514","-0.025","Moderate Resource"
"06037297202","#N/A","Los Angeles","06037","Los Angeles Region","0.503","0.954","0.6","0.183","High Resource"
"06037297300","#N/A","Los Angeles","06037","Los Angeles Region","0.57","0.894","0.549","0.126","High Resource"
"06037297400","#N/A","Los Angeles","06037","Los Angeles Region","0.626","0.949","0.549","0.194","High Resource"
"06037297500","#N/A","Los Angeles","06037","Los Angeles Region","0.657","0.541","0.661","0.207","High Resource"
"06037297601","#N/A","Los Angeles","06037","Los Angeles Region","0.23","0.651","0.661","0.009","Moderate Resource"
"06037297602","#N/A","Los Angeles","06037","Los Angeles Region","0.534","0.571","0.514","-0.017","Moderate Resource"
"06037300100","#N/A","Los Angeles","06037","Los Angeles Region","0.842","0.849","0.978","0.917","Highest Resource"
"06037300200","#N/A","Los Angeles","06037","Los Angeles Region","0.676","0.797","0.941","0.652","Highest Resource"
"06037300301","#N/A","Los Angeles","06037","Los Angeles Region","0.808","0.679","0.964","0.783","Highest Resource"
"06037300400","#N/A","Los Angeles","06037","Los Angeles Region","0.776","0.348","0.964","0.671","Highest Resource"
"06037300501","#N/A","Los Angeles","06037","Los Angeles Region","0.79","0.507","0.957","0.71","Highest Resource"
"06037300502","#N/A","Los Angeles","06037","Los Angeles Region","0.689","0.424","0.934","0.551","Highest Resource"
"06037300600","#N/A","Los Angeles","06037","Los Angeles Region","0.739","0.46","0.934","0.598","Highest Resource"
"06037300701","#N/A","Los Angeles","06037","Los Angeles Region","0.793","0.676","0.847","0.554","Highest Resource"
"06037300702","#N/A","Los Angeles","06037","Los Angeles Region","0.856","0.803","0.784","0.585","Highest Resource"
"06037300800","#N/A","Los Angeles","06037","Los Angeles Region","0.774","0.418","0.939","0.631","Highest Resource"
"06037300901","#N/A","Los Angeles","06037","Los Angeles Region","0.832","0.749","0.819","0.58","Highest Resource"
"06037300902","#N/A","Los Angeles","06037","Los Angeles Region","0.915","0.21","0.821","0.566","Highest Resource"
"06037301000","#N/A","Los Angeles","06037","Los Angeles Region","0.751","0.419","0.694","0.281","High Resource"
"06037301100","#N/A","Los Angeles","06037","Los Angeles Region","0.824","0.715","0.617","0.322","High Resource"
"06037301203","#N/A","Los Angeles","06037","Los Angeles Region","0.719","0.716","0.702","0.333","High Resource"
"06037301204","#N/A","Los Angeles","06037","Los Angeles Region","0.813","0.592","0.683","0.371","High Resource"
"06037301205","#N/A","Los Angeles","06037","Los Angeles Region","0.858","0.482","0.742","0.467","Highest Resource"
"06037301206","#N/A","Los Angeles","06037","Los Angeles Region","0.555","0.364","0.695","0.134","High Resource"
"06037301300","#N/A","Los Angeles","06037","Los Angeles Region","0.904","0.67","0.742","0.584","Highest Resource"
"06037301400","#N/A","Los Angeles","06037","Los Angeles Region","0.833","0.501","0.746","0.439","High Resource"
"06037301501","#N/A","Los Angeles","06037","Los Angeles Region","0.793","0.489","0.746","0.393","High Resource"
"06037301502","#N/A","Los Angeles","06037","Los Angeles Region","0.365","0.341","0.746","0.089","High Resource"
"06037301601","#N/A","Los Angeles","06037","Los Angeles Region","0.463","0.014","0.783","-0.125","Moderate Resource"
"06037301602","#N/A","Los Angeles","06037","Los Angeles Region","0.782","0.032","0.793","0.178","High Resource"
"06037301701","#N/A","Los Angeles","06037","Los Angeles Region","0.841","0.092","0.695","0.226","High Resource"
"06037301702","#N/A","Los Angeles","06037","Los Angeles Region","0.563","0.023","0.658","-0.157","Moderate Resource"
"06037301801","#N/A","Los Angeles","06037","Los Angeles Region","0.727","0.248","0.594","0.084","High Resource"
"06037301802","#N/A","Los Angeles","06037","Los Angeles Region","0.715","0.283","0.594","0.088","High Resource"
"06037301900","#N/A","Los Angeles","06037","Los Angeles Region","0.613","0.256","0.617","0.032","Moderate Resource"
"06037302002","#N/A","Los Angeles","06037","Los Angeles Region","0.673","0.094","0.614","-0.028","Moderate Resource"
"06037302003","#N/A","Los Angeles","06037","Los Angeles Region","0.641","0.453","0.686","0.2","High Resource"
"06037302004","#N/A","Los Angeles","06037","Los Angeles Region","0.48","0.438","0.694","0.118","High Resource"
"06037302102","#N/A","Los Angeles","06037","Los Angeles Region","0.857","0.611","0.66","0.403","High Resource"
"06037302103","#N/A","Los Angeles","06037","Los Angeles Region","0.518","0.748","0.644","0.148","High Resource"
"06037302104","#N/A","Los Angeles","06037","Los Angeles Region","0.722","0.323","0.648","0.175","High Resource"
"06037302201","#N/A","Los Angeles","06037","Los Angeles Region","0.338","0.556","0.684","0.068","High Resource"
"06037302202","#N/A","Los Angeles","06037","Los Angeles Region","0.482","0.348","0.655","0.049","Moderate Resource"
"06037302301","#N/A","Los Angeles","06037","Los Angeles Region","0.522","0.104","0.621","-0.098","Moderate Resource"
"06037302302","#N/A","Los Angeles","06037","Los Angeles Region","0.599","0.128","0.621","-0.036","Moderate Resource"
"06037302401","#N/A","Los Angeles","06037","Los Angeles Region","0.349","0.11","0.626","-0.166","Moderate Resource"
"06037302503","#N/A","Los Angeles","06037","Los Angeles Region","0.485","0.42","0.643","0.055","Moderate Resource"
"06037302504","#N/A","Los Angeles","06037","Los Angeles Region","0.173","0.449","0.626","-0.122","Moderate Resource"
"06037302505","#N/A","Los Angeles","06037","Los Angeles Region","0.235","0.231","0.626","-0.152","Moderate Resource"
"06037302506","#N/A","Los Angeles","06037","Los Angeles Region","0.733","0.451","0.626","0.19","High Resource"
"06037310100","#N/A","Los Angeles","06037","Los Angeles Region","0.831","0.263","0.832","0.471","Highest Resource"
"06037310201","#N/A","Los Angeles","06037","Los Angeles Region","0.653","0.672","0.839","0.433","High Resource"
"06037310202","#N/A","Los Angeles","06037","Los Angeles Region","0.717","0.691","0.8","0.432","High Resource"
"06037310300","#N/A","Los Angeles","06037","Los Angeles Region","0.827","0.268","0.832","0.47","Highest Resource"
"06037310400","#N/A","Los Angeles","06037","Los Angeles Region","0.731","0.046","0.841","0.227","High Resource"
"06037310501","#N/A","Los Angeles","06037","Los Angeles Region","0.504","0.035","0.849","0.074","High Resource"
"06037310601","#N/A","Los Angeles","06037","Los Angeles Region","0.535","0.047","0.841","0.106","High Resource"
"06037310602","#N/A","Los Angeles","06037","Los Angeles Region","0.838","0.223","0.832","0.464","Highest Resource"
"06037310701","#N/A","Los Angeles","06037","Los Angeles Region","0.401","0.168","0.834","0.142","High Resource"
"06037310702","#N/A","Los Angeles","06037","Los Angeles Region","0.629","0.091","0.809","0.163","High Resource"
"06037310703","#N/A","Los Angeles","06037","Los Angeles Region","0.262","0.049","0.746","-0.134","Moderate Resource"
"06037310800","#N/A","Los Angeles","06037","Los Angeles Region","0.658","0.096","0.805","0.183","High Resource"
"06037310900","#N/A","Los Angeles","06037","Los Angeles Region","0.763","0.102","0.848","0.325","High Resource"
"06037311000","#N/A","Los Angeles","06037","Los Angeles Region","0.791","0.272","0.88","0.487","Highest Resource"
"06037311100","#N/A","Los Angeles","06037","Los Angeles Region","0.728","0.187","0.719","0.203","High Resource"
"06037311200","#N/A","Los Angeles","06037","Los Angeles Region","0.831","0.447","0.787","0.467","Highest Resource"
"06037311300","#N/A","Los Angeles","06037","Los Angeles Region","0.813","0.467","0.89","0.577","Highest Resource"
"06037311400","#N/A","Los Angeles","06037","Los Angeles Region","0.879","0.43","0.865","0.622","Highest Resource"
"06037311500","#N/A","Los Angeles","06037","Los Angeles Region","0.823","0.406","0.904","0.592","Highest Resource"
"06037311600","#N/A","Los Angeles","06037","Los Angeles Region","0.83","0.282","0.805","0.434","High Resource"
"06037311700","#N/A","Los Angeles","06037","Los Angeles Region","0.861","0.209","0.82","0.473","Highest Resource"
"06037311801","#N/A","Los Angeles","06037","Los Angeles Region","0.82","0.085","0.829","0.341","High Resource"
"06037311802","#N/A","Los Angeles","06037","Los Angeles Region","0.638","0.056","0.824","0.156","High Resource"
"06037320000","#N/A","Los Angeles","06037","Los Angeles Region","#N/A","#N/A","#N/A","#N/A","#N/A"
"06037320100","#N/A","Los Angeles","06037","Los Angeles Region","0.237","0.71","0.375","-0.235","Moderate Resource"
"06037320201","#N/A","Los Angeles","06037","Los Angeles Region","0.051","0.715","0.301","-0.425","Low Resource"
"06037320202","#N/A","Los Angeles","06037","Los Angeles Region","0.301","0.613","0.306","-0.268","Moderate Resource"
"06037320300","#N/A","Los Angeles","06037","Los Angeles Region","0.114","0.442","0.284","-0.431","Low Resource"
"06037400204","#N/A","Los Angeles","06037","Los Angeles Region","0.632","0.549","0.898","0.467","Highest Resource"
"06037400205","#N/A","Los Angeles","06037","Los Angeles Region","0.88","0.454","0.911","0.702","Highest Resource"
"06037400206","#N/A","Los Angeles","06037","Los Angeles Region","0.792","0.473","0.858","0.517","Highest Resource"
"06037400207","#N/A","Los Angeles","06037","Los Angeles Region","0.717","0.671","0.938","0.639","Highest Resource"
"06037400302","#N/A","Los Angeles","06037","Los Angeles Region","0.49","0.294","0.838","0.244","High Resource"
"06037400304","#N/A","Los Angeles","06037","Los Angeles Region","0.429","0.692","0.893","0.384","High Resource"
"06037400402","#N/A","Los Angeles","06037","Los Angeles Region","0.591","0.866","0.918","0.568","Highest Resource"
"06037400403","#N/A","Los Angeles","06037","Los Angeles Region","0.493","0.822","0.857","0.404","High Resource"
"06037400404","#N/A","Los Angeles","06037","Los Angeles Region","0.712","0.912","0.93","0.695","Highest Resource"
"06037400501","#N/A","Los Angeles","06037","Los Angeles Region","0.68","0.946","0.878","0.603","Highest Resource"
"06037400602","#N/A","Los Angeles","06037","Los Angeles Region","0.495","0.752","0.488","-0.013","Moderate Resource"
"06037400603","#N/A","Los Angeles","06037","Los Angeles Region","0.538","0.855","0.473","0.024","Moderate Resource"
"06037400604","#N/A","Los Angeles","06037","Los Angeles Region","0.624","0.921","0.488","0.118","High Resource"
"06037400800","#N/A","Los Angeles","06037","Los Angeles Region","0.438","0.781","0.592","0.053","Moderate Resource"
"06037400900","#N/A","Los Angeles","06037","Los Angeles Region","0.538","0.606","0.691","0.181","High Resource"
"06037401001","#N/A","Los Angeles","06037","Los Angeles Region","0.7","0.897","0.878","0.581","Highest Resource"
"06037401002","#N/A","Los Angeles","06037","Los Angeles Region","0.618","0.838","0.878","0.502","Highest Resource"
"06037401101","#N/A","Los Angeles","06037","Los Angeles Region","0.456","0.578","0.886","0.359","High Resource"
"06037401102","#N/A","Los Angeles","06037","Los Angeles Region","0.536","0.614","0.808","0.309","High Resource"
"06037401201","#N/A","Los Angeles","06037","Los Angeles Region","0.551","0.391","0.92","0.428","High Resource"
"06037401202","#N/A","Los Angeles","06037","Los Angeles Region","0.4","0.537","0.743","0.157","High Resource"
"06037401203","#N/A","Los Angeles","06037","Los Angeles Region","0.471","0.635","0.734","0.201","High Resource"
"06037401303","#N/A","Los Angeles","06037","Los Angeles Region","0.814","0.076","0.685","0.162","High Resource"
"06037401304","#N/A","Los Angeles","06037","Los Angeles Region","0.785","0.483","0.562","0.172","High Resource"
"06037401311","#N/A","Los Angeles","06037","Los Angeles Region","0.453","0.295","0.909","0.319","High Resource"
"06037401312","#N/A","Los Angeles","06037","Los Angeles Region","0.573","0.559","0.743","0.252","High Resource"
"06037401500","#N/A","Los Angeles","06037","Los Angeles Region","0.252","0.073","0.734","-0.13","Moderate Resource"
"06037401601","#N/A","Los Angeles","06037","Los Angeles Region","0.306","0.358","0.848","0.184","High Resource"
"06037401602","#N/A","Los Angeles","06037","Los Angeles Region","0.406","0.309","0.71","0.061","Moderate Resource"
"06037401603","#N/A","Los Angeles","06037","Los Angeles Region","0.417","0.366","0.846","0.237","High Resource"
"06037401701","#N/A","Los Angeles","06037","Los Angeles Region","0.638","0.322","0.819","0.31","High Resource"
"06037401703","#N/A","Los Angeles","06037","Los Angeles Region","0.36","0.432","0.665","0.023","Moderate Resource"
"06037401704","#N/A","Los Angeles","06037","Los Angeles Region","0.257","0.292","0.62","-0.129","Moderate Resource"
"06037401800","#N/A","Los Angeles","06037","Los Angeles Region","0.71","0.325","0.903","0.466","Highest Resource"
"06037401901","#N/A","Los Angeles","06037","Los Angeles Region","0.839","0.221","0.811","0.435","High Resource"
"06037401902","#N/A","Los Angeles","06037","Los Angeles Region","0.835","0.345","0.754","0.41","High Resource"
"06037402001","#N/A","Los Angeles","06037","Los Angeles Region","0.589","0.112","0.424","-0.226","Moderate Resource"
"06037402002","#N/A","Los Angeles","06037","Los Angeles Region","0.488","0.161","0.587","-0.107","Moderate Resource"
"06037402101","#N/A","Los Angeles","06037","Los Angeles Region","0.082","0.127","0.424","-0.498","Low Resource"
"06037402102","#N/A","Los Angeles","06037","Los Angeles Region","0.191","0.193","0.272","-0.469","Low Resource"
"06037402200","#N/A","Los Angeles","06037","Los Angeles Region","0.488","0.13","0.309","-0.335","Low Resource"
"06037402301","#N/A","Los Angeles","06037","Los Angeles Region","0.102","0.208","0.294","-0.512","Low Resource"
"06037402303","#N/A","Los Angeles","06037","Los Angeles Region","0.059","0.237","0.202","-0.603","Low Resource"
"06037402304","#N/A","Los Angeles","06037","Los Angeles Region","0.015","0.232","0.185","-0.753","Low Resource"
"06037402402","#N/A","Los Angeles","06037","Los Angeles Region","0.055","0.029","0.508","-0.59","Low Resource"
"06037402403","#N/A","Los Angeles","06037","Los Angeles Region","0.274","0.002","0.525","-0.735","Low Resource"
"06037402404","#N/A","Los Angeles","06037","Los Angeles Region","#N/A","#N/A","#N/A","#N/A","#N/A"
"06037402405","#N/A","Los Angeles","06037","Los Angeles Region","0.081","0.165","0.441","-0.463","Low Resource"
"06037402406","#N/A","Los Angeles","06037","Los Angeles Region","0.038","0.313","0.352","-0.519","Low Resource"
"06037402501","#N/A","Los Angeles","06037","Los Angeles Region","0.02","0.216","0.124","-0.786","Low Resource"
"06037402502","#N/A","Los Angeles","06037","Los Angeles Region","0.072","0.618","0.156","-0.513","Low Resource"
"06037402600","#N/A","Los Angeles","06037","Los Angeles Region","0.213","0.213","0.118","-0.563","Low Resource"
"06037402702","#N/A","Los Angeles","06037","Los Angeles Region","0.024","0.287","0.239","#N/A","High Segregation & Poverty"
"06037402703","#N/A","Los Angeles","06037","Los Angeles Region","0.34","0.233","0.371","-0.315","Low Resource"
